valid_time_gmt,temp,wspd,pressure,precip_hrly
2019-01-01 00:08,47,3,29.76,0.06
2019-01-01 00:51,47,0,29.73,0.1
2019-01-01 01:31,47,0,29.69,0.02
2019-01-01 01:47,48,5,29.67,0.02
2019-01-01 01:51,50,5,29.66,0.02
2019-01-01 02:34,51,6,29.61,0.0
2019-01-01 02:51,51,8,29.6,0.0
2019-01-01 03:15,52,7,29.61,0
2019-01-01 03:51,54,15,29.6,0
2019-01-01 04:11,54,22,29.59,0
2019-01-01 04:51,55,15,29.57,0
2019-01-01 05:12,56,14,29.58,0
2019-01-01 05:35,57,25,29.59,0
2019-01-01 05:51,57,12,29.6,0
2019-01-01 06:18,57,14,29.6,0
2019-01-01 06:51,58,18,29.59,0
2019-01-01 07:51,59,22,29.62,0
2019-01-01 08:51,59,20,29.65,0
2019-01-01 09:51,60,24,29.68,0
2019-01-01 10:51,59,26,29.73,0
2019-01-01 11:51,55,21,29.75,0
2019-01-01 12:51,54,21,29.77,0
2019-01-01 13:51,51,25,29.82,0
2019-01-01 14:51,49,25,29.9,0
2019-01-01 15:51,48,28,29.96,0
2019-01-01 16:51,46,21,29.99,0
2019-01-01 17:51,45,17,30.03,0
2019-01-01 18:51,44,17,30.05,0
2019-01-01 19:51,44,14,30.09,0
2019-01-01 20:51,43,15,30.12,0
2019-01-01 21:51,43,12,30.12,0
2019-01-01 22:51,42,14,30.12,0
2019-01-01 23:51,41,17,30.15,0
2019-01-02 00:51,40,10,30.17,0
2019-01-02 01:51,39,9,30.19,0
2019-01-02 02:51,38,15,30.21,0
2019-01-02 03:51,38,10,30.22,0
2019-01-02 04:51,37,8,30.23,0
2019-01-02 05:51,36,6,30.25,0
2019-01-02 06:51,36,10,30.29,0
2019-01-02 07:51,35,8,30.31,0
2019-01-02 08:51,36,9,30.33,0
2019-01-02 09:51,36,8,30.34,0
2019-01-02 10:51,36,7,30.34,0
2019-01-02 11:51,37,8,30.32,0
2019-01-02 12:51,37,7,30.29,0
2019-01-02 13:51,38,3,30.28,0
2019-01-02 14:51,38,5,30.27,0
2019-01-02 15:51,39,6,30.25,0
2019-01-02 16:51,38,9,30.24,0
2019-01-02 17:51,37,8,30.23,0
2019-01-02 18:51,37,9,30.23,0
2019-01-02 19:51,38,10,30.18,0
2019-01-02 20:51,38,10,30.16,0
2019-01-02 21:51,39,8,30.13,0
2019-01-02 22:51,40,9,30.09,0
2019-01-02 23:51,41,8,30.07,0
2019-01-03 00:51,40,7,30.04,0
2019-01-03 01:51,41,5,30.01,0.0
2019-01-03 02:51,39,5,29.95,0.0
2019-01-03 03:44,41,7,29.89,0.0
2019-01-03 03:51,41,5,29.89,0.0
2019-01-03 04:51,42,5,29.87,0
2019-01-03 05:44,43,3,29.86,0
2019-01-03 05:51,43,0,29.86,0
2019-01-03 06:51,45,8,29.85,0
2019-01-03 07:51,45,13,29.86,0
2019-01-03 08:08,44,15,29.86,0
2019-01-03 08:44,44,14,29.89,0
2019-01-03 08:51,44,12,29.88,0
2019-01-03 09:04,44,12,29.89,0
2019-01-03 09:51,43,14,29.91,0
2019-01-03 10:51,44,17,29.9,0
2019-01-03 11:51,43,20,29.89,0
2019-01-03 12:51,44,16,29.89,0
2019-01-03 13:51,43,17,29.9,0
2019-01-03 14:51,43,16,29.93,0
2019-01-03 15:51,41,15,29.94,0
2019-01-03 16:51,40,21,29.95,0
2019-01-03 17:51,40,12,29.98,0
2019-01-03 18:51,39,12,29.99,0
2019-01-03 19:51,40,8,30.01,0
2019-01-03 20:51,40,7,30.01,0
2019-01-03 21:51,40,6,30.0,0
2019-01-03 22:51,40,8,30.0,0
2019-01-03 23:51,39,6,29.99,0
