timestamp,zone,forcast,gmt
2023/01/01 00:00:00,CAPITL,1061,5
2023/01/01 01:00:00,CAPITL,1024,6
2023/01/01 02:00:00,CAPITL,1002,7
2023/01/01 03:00:00,CAPITL,989,8
2023/01/01 04:00:00,CAPITL,988,9
2023/01/01 05:00:00,CAPITL,989,10
2023/01/01 06:00:00,CAPITL,1005,11
2023/01/01 07:00:00,CAPITL,1041,12
2023/01/01 08:00:00,CAPITL,1097,13
2023/01/01 09:00:00,CAPITL,1145,14
2023/01/01 10:00:00,CAPITL,1170,15
2023/01/01 11:00:00,CAPITL,1182,16
2023/01/01 12:00:00,CAPITL,1196,17
2023/01/01 13:00:00,CAPITL,1210,18
2023/01/01 14:00:00,CAPITL,1235,19
2023/01/01 15:00:00,CAPITL,1274,20
2023/01/01 16:00:00,CAPITL,1349,21
2023/01/01 17:00:00,CAPITL,1421,22
2023/01/01 18:00:00,CAPITL,1402,23
2023/01/01 19:00:00,CAPITL,1359,0
2023/01/01 20:00:00,CAPITL,1314,1
2023/01/01 21:00:00,CAPITL,1241,2
2023/01/01 22:00:00,CAPITL,1164,3
2023/01/01 23:00:00,CAPITL,1103,4
2023/01/02 00:00:00,CAPITL,1049,5
2023/01/02 01:00:00,CAPITL,1018,6
2023/01/02 02:00:00,CAPITL,1009,7
2023/01/02 03:00:00,CAPITL,1008,8
2023/01/02 04:00:00,CAPITL,1028,9
2023/01/02 05:00:00,CAPITL,1072,10
2023/01/02 06:00:00,CAPITL,1116,11
2023/01/02 07:00:00,CAPITL,1197,12
2023/01/02 08:00:00,CAPITL,1270,13
2023/01/02 09:00:00,CAPITL,1302,14
2023/01/02 10:00:00,CAPITL,1309,15
2023/01/02 11:00:00,CAPITL,1320,16
2023/01/02 12:00:00,CAPITL,1315,17
2023/01/02 13:00:00,CAPITL,1319,18
2023/01/02 14:00:00,CAPITL,1340,19
2023/01/02 15:00:00,CAPITL,1358,20
2023/01/02 16:00:00,CAPITL,1435,21
2023/01/02 17:00:00,CAPITL,1549,22
2023/01/02 18:00:00,CAPITL,1536,23
2023/01/02 19:00:00,CAPITL,1482,0
2023/01/02 20:00:00,CAPITL,1416,1
2023/01/02 21:00:00,CAPITL,1320,2
2023/01/02 22:00:00,CAPITL,1233,3
2023/01/02 23:00:00,CAPITL,1161,4
2023/01/03 00:00:00,CAPITL,1107,5
2023/01/03 01:00:00,CAPITL,1080,6
2023/01/03 02:00:00,CAPITL,1070,7
2023/01/03 03:00:00,CAPITL,1074,8
2023/01/03 04:00:00,CAPITL,1103,9
2023/01/03 05:00:00,CAPITL,1180,10
2023/01/03 06:00:00,CAPITL,1296,11
2023/01/03 07:00:00,CAPITL,1369,12
2023/01/03 08:00:00,CAPITL,1388,13
2023/01/03 09:00:00,CAPITL,1396,14
2023/01/03 10:00:00,CAPITL,1411,15
2023/01/03 11:00:00,CAPITL,1413,16
2023/01/03 12:00:00,CAPITL,1413,17
2023/01/03 13:00:00,CAPITL,1418,18
2023/01/03 14:00:00,CAPITL,1418,19
2023/01/03 15:00:00,CAPITL,1428,20
2023/01/03 16:00:00,CAPITL,1489,21
2023/01/03 17:00:00,CAPITL,1555,22
2023/01/03 18:00:00,CAPITL,1508,23
2023/01/03 19:00:00,CAPITL,1454,0
2023/01/03 20:00:00,CAPITL,1384,1
2023/01/03 21:00:00,CAPITL,1295,2
2023/01/03 22:00:00,CAPITL,1195,3
2023/01/03 23:00:00,CAPITL,1113,4
2023/01/04 00:00:00,CAPITL,1105,5
2023/01/04 01:00:00,CAPITL,1078,6
2023/01/04 02:00:00,CAPITL,1066,7
2023/01/04 03:00:00,CAPITL,1067,8
2023/01/04 04:00:00,CAPITL,1091,9
2023/01/04 05:00:00,CAPITL,1159,10
2023/01/04 06:00:00,CAPITL,1270,11
2023/01/04 07:00:00,CAPITL,1340,12
2023/01/04 08:00:00,CAPITL,1354,13
2023/01/04 09:00:00,CAPITL,1345,14
2023/01/04 10:00:00,CAPITL,1343,15
2023/01/04 11:00:00,CAPITL,1340,16
2023/01/04 12:00:00,CAPITL,1340,17
2023/01/04 13:00:00,CAPITL,1352,18
2023/01/04 14:00:00,CAPITL,1362,19
2023/01/04 15:00:00,CAPITL,1379,20
2023/01/04 16:00:00,CAPITL,1440,21
2023/01/04 17:00:00,CAPITL,1524,22
2023/01/04 18:00:00,CAPITL,1498,23
2023/01/04 19:00:00,CAPITL,1441,0
2023/01/04 20:00:00,CAPITL,1376,1
2023/01/04 21:00:00,CAPITL,1293,2
2023/01/04 22:00:00,CAPITL,1202,3
2023/01/04 23:00:00,CAPITL,1129,4
2023/01/05 00:00:00,CAPITL,1093,5
2023/01/05 01:00:00,CAPITL,1069,6
2023/01/05 02:00:00,CAPITL,1058,7
2023/01/05 03:00:00,CAPITL,1061,8
2023/01/05 04:00:00,CAPITL,1085,9
2023/01/05 05:00:00,CAPITL,1150,10
2023/01/05 06:00:00,CAPITL,1263,11
2023/01/05 07:00:00,CAPITL,1339,12
2023/01/05 08:00:00,CAPITL,1356,13
2023/01/05 09:00:00,CAPITL,1347,14
2023/01/05 10:00:00,CAPITL,1334,15
2023/01/05 11:00:00,CAPITL,1326,16
2023/01/05 12:00:00,CAPITL,1326,17
2023/01/05 13:00:00,CAPITL,1330,18
2023/01/05 14:00:00,CAPITL,1346,19
2023/01/05 15:00:00,CAPITL,1367,20
2023/01/05 16:00:00,CAPITL,1425,21
2023/01/05 17:00:00,CAPITL,1502,22
2023/01/05 18:00:00,CAPITL,1498,23
2023/01/05 19:00:00,CAPITL,1445,0
2023/01/05 20:00:00,CAPITL,1388,1
2023/01/05 21:00:00,CAPITL,1308,2
2023/01/05 22:00:00,CAPITL,1220,3
2023/01/05 23:00:00,CAPITL,1148,4
2023/01/06 00:00:00,CAPITL,1091,5
2023/01/06 01:00:00,CAPITL,1069,6
2023/01/06 02:00:00,CAPITL,1059,7
2023/01/06 03:00:00,CAPITL,1061,8
2023/01/06 04:00:00,CAPITL,1088,9
2023/01/06 05:00:00,CAPITL,1149,10
2023/01/06 06:00:00,CAPITL,1258,11
2023/01/06 07:00:00,CAPITL,1336,12
2023/01/06 08:00:00,CAPITL,1356,13
2023/01/06 09:00:00,CAPITL,1355,14
2023/01/06 10:00:00,CAPITL,1346,15
2023/01/06 11:00:00,CAPITL,1340,16
2023/01/06 12:00:00,CAPITL,1318,17
2023/01/06 13:00:00,CAPITL,1320,18
2023/01/06 14:00:00,CAPITL,1317,19
2023/01/06 15:00:00,CAPITL,1340,20
2023/01/06 16:00:00,CAPITL,1400,21
2023/01/06 17:00:00,CAPITL,1467,22
2023/01/06 18:00:00,CAPITL,1451,23
2023/01/06 19:00:00,CAPITL,1406,0
2023/01/06 20:00:00,CAPITL,1362,1
2023/01/06 21:00:00,CAPITL,1307,2
2023/01/06 22:00:00,CAPITL,1245,3
2023/01/06 23:00:00,CAPITL,1182,4
2023/01/07 00:00:00,CAPITL,1118,5
2023/01/07 01:00:00,CAPITL,1092,6
2023/01/07 02:00:00,CAPITL,1079,7
2023/01/07 03:00:00,CAPITL,1076,8
2023/01/07 04:00:00,CAPITL,1086,9
2023/01/07 05:00:00,CAPITL,1116,10
2023/01/07 06:00:00,CAPITL,1172,11
2023/01/07 07:00:00,CAPITL,1230,12
2023/01/07 08:00:00,CAPITL,1265,13
2023/01/07 09:00:00,CAPITL,1270,14
2023/01/07 10:00:00,CAPITL,1257,15
2023/01/07 11:00:00,CAPITL,1244,16
2023/01/07 12:00:00,CAPITL,1237,17
2023/01/07 13:00:00,CAPITL,1242,18
2023/01/07 14:00:00,CAPITL,1268,19
2023/01/07 15:00:00,CAPITL,1309,20
2023/01/07 16:00:00,CAPITL,1377,21
2023/01/07 17:00:00,CAPITL,1456,22
2023/01/07 18:00:00,CAPITL,1438,23
2023/01/07 19:00:00,CAPITL,1403,0
2023/01/07 20:00:00,CAPITL,1366,1
2023/01/07 21:00:00,CAPITL,1314,2
2023/01/07 22:00:00,CAPITL,1254,3
2023/01/07 23:00:00,CAPITL,1200,4
2023/01/08 00:00:00,CAPITL,1180,5
2023/01/08 01:00:00,CAPITL,1158,6
2023/01/08 02:00:00,CAPITL,1148,7
2023/01/08 03:00:00,CAPITL,1149,8
2023/01/08 04:00:00,CAPITL,1162,9
2023/01/08 05:00:00,CAPITL,1191,10
2023/01/08 06:00:00,CAPITL,1237,11
2023/01/08 07:00:00,CAPITL,1280,12
2023/01/08 08:00:00,CAPITL,1261,13
2023/01/08 09:00:00,CAPITL,1194,14
2023/01/08 10:00:00,CAPITL,1140,15
2023/01/08 11:00:00,CAPITL,1114,16
2023/01/08 12:00:00,CAPITL,1121,17
2023/01/08 13:00:00,CAPITL,1146,18
2023/01/08 14:00:00,CAPITL,1222,19
2023/01/08 15:00:00,CAPITL,1314,20
2023/01/08 16:00:00,CAPITL,1422,21
2023/01/08 17:00:00,CAPITL,1524,22
2023/01/08 18:00:00,CAPITL,1512,23
2023/01/08 19:00:00,CAPITL,1479,0
2023/01/08 20:00:00,CAPITL,1433,1
2023/01/08 21:00:00,CAPITL,1362,2
2023/01/08 22:00:00,CAPITL,1282,3
2023/01/08 23:00:00,CAPITL,1219,4
2023/01/09 00:00:00,CAPITL,1189,5
2023/01/09 01:00:00,CAPITL,1168,6
2023/01/09 02:00:00,CAPITL,1161,7
2023/01/09 03:00:00,CAPITL,1162,8
2023/01/09 04:00:00,CAPITL,1188,9
2023/01/09 05:00:00,CAPITL,1255,10
2023/01/09 06:00:00,CAPITL,1371,11
2023/01/09 07:00:00,CAPITL,1449,12
2023/01/09 08:00:00,CAPITL,1429,13
2023/01/09 09:00:00,CAPITL,1370,14
2023/01/09 10:00:00,CAPITL,1322,15
2023/01/09 11:00:00,CAPITL,1302,16
2023/01/09 12:00:00,CAPITL,1272,17
2023/01/09 13:00:00,CAPITL,1292,18
2023/01/09 14:00:00,CAPITL,1314,19
2023/01/09 15:00:00,CAPITL,1366,20
2023/01/09 16:00:00,CAPITL,1460,21
2023/01/09 17:00:00,CAPITL,1561,22
2023/01/09 18:00:00,CAPITL,1565,23
2023/01/09 19:00:00,CAPITL,1532,0
2023/01/09 20:00:00,CAPITL,1483,1
2023/01/09 21:00:00,CAPITL,1406,2
2023/01/09 22:00:00,CAPITL,1321,3
2023/01/09 23:00:00,CAPITL,1249,4
2023/01/10 00:00:00,CAPITL,1202,5
2023/01/10 01:00:00,CAPITL,1177,6
2023/01/10 02:00:00,CAPITL,1166,7
2023/01/10 03:00:00,CAPITL,1165,8
2023/01/10 04:00:00,CAPITL,1191,9
2023/01/10 05:00:00,CAPITL,1259,10
2023/01/10 06:00:00,CAPITL,1373,11
2023/01/10 07:00:00,CAPITL,1447,12
2023/01/10 08:00:00,CAPITL,1433,13
2023/01/10 09:00:00,CAPITL,1386,14
2023/01/10 10:00:00,CAPITL,1340,15
2023/01/10 11:00:00,CAPITL,1309,16
2023/01/10 12:00:00,CAPITL,1285,17
2023/01/10 13:00:00,CAPITL,1298,18
2023/01/10 14:00:00,CAPITL,1315,19
2023/01/10 15:00:00,CAPITL,1378,20
2023/01/10 16:00:00,CAPITL,1477,21
2023/01/10 17:00:00,CAPITL,1571,22
2023/01/10 18:00:00,CAPITL,1578,23
2023/01/10 19:00:00,CAPITL,1547,0
2023/01/10 20:00:00,CAPITL,1501,1
2023/01/10 21:00:00,CAPITL,1429,2
2023/01/10 22:00:00,CAPITL,1343,3
2023/01/10 23:00:00,CAPITL,1274,4
2023/01/11 00:00:00,CAPITL,1223,5
2023/01/11 01:00:00,CAPITL,1202,6
2023/01/11 02:00:00,CAPITL,1194,7
2023/01/11 03:00:00,CAPITL,1195,8
2023/01/11 04:00:00,CAPITL,1225,9
2023/01/11 05:00:00,CAPITL,1292,10
2023/01/11 06:00:00,CAPITL,1415,11
2023/01/11 07:00:00,CAPITL,1491,12
2023/01/11 08:00:00,CAPITL,1443,13
2023/01/11 09:00:00,CAPITL,1346,14
2023/01/11 10:00:00,CAPITL,1272,15
2023/01/11 11:00:00,CAPITL,1268,16
2023/01/11 12:00:00,CAPITL,1289,17
2023/01/11 13:00:00,CAPITL,1344,18
2023/01/11 14:00:00,CAPITL,1374,19
2023/01/11 15:00:00,CAPITL,1422,20
2023/01/11 16:00:00,CAPITL,1503,21
2023/01/11 17:00:00,CAPITL,1582,22
2023/01/11 18:00:00,CAPITL,1578,23
2023/01/11 19:00:00,CAPITL,1544,0
2023/01/11 20:00:00,CAPITL,1497,1
2023/01/11 21:00:00,CAPITL,1422,2
2023/01/11 22:00:00,CAPITL,1331,3
2023/01/11 23:00:00,CAPITL,1259,4
2023/01/12 00:00:00,CAPITL,1222,5
2023/01/12 01:00:00,CAPITL,1196,6
2023/01/12 02:00:00,CAPITL,1183,7
2023/01/12 03:00:00,CAPITL,1179,8
2023/01/12 04:00:00,CAPITL,1203,9
2023/01/12 05:00:00,CAPITL,1257,10
2023/01/12 06:00:00,CAPITL,1361,11
2023/01/12 07:00:00,CAPITL,1439,12
2023/01/12 08:00:00,CAPITL,1456,13
2023/01/12 09:00:00,CAPITL,1463,14
2023/01/12 10:00:00,CAPITL,1458,15
2023/01/12 11:00:00,CAPITL,1452,16
2023/01/12 12:00:00,CAPITL,1439,17
2023/01/12 13:00:00,CAPITL,1470,18
2023/01/12 14:00:00,CAPITL,1456,19
2023/01/12 15:00:00,CAPITL,1466,20
2023/01/12 16:00:00,CAPITL,1516,21
2023/01/12 17:00:00,CAPITL,1560,22
2023/01/12 18:00:00,CAPITL,1541,23
2023/01/12 19:00:00,CAPITL,1490,0
2023/01/12 20:00:00,CAPITL,1439,1
2023/01/12 21:00:00,CAPITL,1364,2
2023/01/12 22:00:00,CAPITL,1273,3
2023/01/12 23:00:00,CAPITL,1197,4
2023/01/13 00:00:00,CAPITL,1121,5
2023/01/13 01:00:00,CAPITL,1089,6
2023/01/13 02:00:00,CAPITL,1072,7
2023/01/13 03:00:00,CAPITL,1068,8
2023/01/13 04:00:00,CAPITL,1089,9
2023/01/13 05:00:00,CAPITL,1141,10
2023/01/13 06:00:00,CAPITL,1240,11
2023/01/13 07:00:00,CAPITL,1324,12
2023/01/13 08:00:00,CAPITL,1360,13
2023/01/13 09:00:00,CAPITL,1374,14
2023/01/13 10:00:00,CAPITL,1369,15
2023/01/13 11:00:00,CAPITL,1357,16
2023/01/13 12:00:00,CAPITL,1345,17
2023/01/13 13:00:00,CAPITL,1338,18
2023/01/13 14:00:00,CAPITL,1348,19
2023/01/13 15:00:00,CAPITL,1370,20
2023/01/13 16:00:00,CAPITL,1424,21
2023/01/13 17:00:00,CAPITL,1475,22
2023/01/13 18:00:00,CAPITL,1468,23
2023/01/13 19:00:00,CAPITL,1417,0
2023/01/13 20:00:00,CAPITL,1379,1
2023/01/13 21:00:00,CAPITL,1328,2
2023/01/13 22:00:00,CAPITL,1265,3
2023/01/13 23:00:00,CAPITL,1204,4
2023/01/14 00:00:00,CAPITL,1184,5
2023/01/14 01:00:00,CAPITL,1157,6
2023/01/14 02:00:00,CAPITL,1143,7
