valid_time_gmt,temp,wspd,pressure,precip_hrly
2020-01-01 00:51,40,14,29.63,0
2020-01-01 01:51,40,17,29.64,0
2020-01-01 02:51,40,16,29.64,0
2020-01-01 03:51,39,16,29.66,0
2020-01-01 04:51,38,14,29.66,0
2020-01-01 05:51,38,18,29.68,0
2020-01-01 06:51,37,18,29.68,0
2020-01-01 07:51,37,13,29.7,0
2020-01-01 08:51,37,17,29.72,0
2020-01-01 09:51,38,15,29.74,0
2020-01-01 10:51,39,18,29.73,0
2020-01-01 11:51,40,23,29.72,0
2020-01-01 12:51,39,18,29.71,0
2020-01-01 13:51,39,23,29.72,0
2020-01-01 14:51,39,18,29.74,0
2020-01-01 15:51,39,15,29.76,0
2020-01-01 16:51,39,12,29.8,0
2020-01-01 17:51,38,16,29.81,0
2020-01-01 18:51,38,18,29.83,0
2020-01-01 19:51,37,13,29.85,0
2020-01-01 20:51,36,17,29.87,0
2020-01-01 21:51,36,12,29.88,0
2020-01-01 22:51,36,12,29.88,0
2020-01-01 23:51,36,8,29.89,0
2020-01-02 00:51,36,9,29.88,0
2020-01-02 01:51,36,12,29.91,0
2020-01-02 02:51,34,8,29.91,0
2020-01-02 03:51,35,9,29.92,0
2020-01-02 04:51,35,8,29.93,0
2020-01-02 05:51,35,8,29.94,0
2020-01-02 06:51,35,9,29.96,0
2020-01-02 07:51,36,3,29.95,0
2020-01-02 08:51,38,6,29.96,0
2020-01-02 09:51,42,10,29.97,0
2020-01-02 10:51,43,9,29.95,0
2020-01-02 11:51,45,12,29.93,0
2020-01-02 12:51,46,12,29.9,0
2020-01-02 13:51,48,12,29.9,0
2020-01-02 14:51,49,12,29.89,0
2020-01-02 15:51,48,7,29.87,0
2020-01-02 16:51,47,6,29.87,0
2020-01-02 17:51,48,9,29.87,0
2020-01-02 18:51,46,7,29.86,0
2020-01-02 20:51,47,7,29.87,0
2020-01-02 21:51,46,5,29.85,0
2020-01-02 22:51,46,6,29.82,0
2020-01-02 23:51,47,6,29.81,0
2020-01-03 00:51,47,6,29.79,0
2020-01-03 01:51,47,7,29.81,0
2020-01-03 02:51,48,8,29.8,0.0
2020-01-03 03:51,47,6,29.79,0.0
2020-01-03 04:51,46,5,29.8,0.02
2020-01-03 05:51,45,8,29.82,0.01
2020-01-03 06:51,46,6,29.8,0.02
2020-01-03 07:51,45,7,29.81,0.02
2020-01-03 07:59,45,8,29.82,0.0
2020-01-03 08:51,46,8,29.81,0.0
2020-01-03 09:04,45,7,29.82,0.0
2020-01-03 09:13,45,7,29.81,0.0
2020-01-03 09:51,45,7,29.83,0.02
2020-01-03 10:39,45,3,29.8,0.01
2020-01-03 10:51,45,0,29.79,0.01
2020-01-03 11:07,46,5,29.78,0.01
2020-01-03 11:29,46,7,29.76,0.01
2020-01-03 11:46,46,6,29.76,0.01
2020-01-03 11:51,46,7,29.77,0.01
2020-01-03 12:51,47,0,29.73,0
2020-01-03 13:21,48,6,29.74,0
2020-01-03 13:51,48,6,29.76,0
2020-01-03 14:49,48,3,29.76,0
2020-01-03 14:51,47,3,29.76,0
2020-01-03 15:51,48,6,29.77,0
2020-01-03 16:51,48,0,29.79,0
2020-01-03 17:51,48,3,29.77,0
2020-01-03 18:51,49,6,29.78,0
2020-01-03 19:51,49,6,29.81,0.0
2020-01-03 20:51,48,5,29.8,0.0
2020-01-03 21:51,48,0,29.82,0.01
2020-01-03 22:51,48,0,29.81,0.01
2020-01-03 23:51,47,0,29.78,0.01
2020-01-04 00:51,47,0,29.75,0.0
2020-01-04 01:51,46,5,29.75,0.02
2020-01-04 02:06,45,3,29.75,0.01
2020-01-04 02:36,45,0,29.76,0.02
2020-01-04 02:51,46,3,29.76,0.02
2020-01-04 03:02,45,6,29.74,0.01
2020-01-04 03:04,45,5,29.74,0.01
2020-01-04 03:12,45,0,29.75,0.02
2020-01-04 03:29,46,3,29.75,0.03
2020-01-04 03:41,46,7,29.73,0.06
2020-01-04 03:51,46,0,29.73,0.07
2020-01-04 04:05,47,6,29.71,0.02
2020-01-04 04:21,47,0,29.72,0.04
2020-01-04 04:34,47,3,29.74,0.04
2020-01-04 04:42,46,5,29.74,0.06
2020-01-04 04:51,46,0,29.73,0.08
2020-01-04 04:59,45,6,29.7,0.01
2020-01-04 05:14,45,5,29.71,0.02
2020-01-04 05:16,45,5,29.71,0.02
2020-01-04 05:24,45,6,29.7,0.03
2020-01-04 05:41,45,6,29.69,0.04
2020-01-04 05:51,45,6,29.69,0.04
2020-01-04 05:57,46,6,29.69,0.0
2020-01-04 06:12,46,6,29.68,0.0
2020-01-04 06:51,47,5,29.68,0.0
2020-01-04 07:04,45,6,29.66,0
2020-01-04 07:27,45,7,29.66,0
2020-01-04 07:51,45,6,29.66,0
2020-01-04 08:15,45,5,29.67,0
2020-01-04 08:24,46,7,29.66,0
2020-01-04 08:47,46,6,29.65,0
2020-01-04 08:51,48,7,29.65,0
2020-01-04 08:57,47,6,29.65,0
2020-01-04 09:51,47,8,29.66,0.0
2020-01-04 10:13,47,5,29.64,0.0
2020-01-04 10:51,47,7,29.59,0.0
2020-01-04 11:08,47,0,29.59,0.0
2020-01-04 11:46,48,6,29.6,0.0
2020-01-04 11:51,48,6,29.59,0.0
2020-01-04 12:23,46,7,29.54,0.0
2020-01-04 12:35,46,7,29.54,0.0
2020-01-04 12:51,45,7,29.53,0.0
2020-01-04 13:05,45,6,29.52,0.0
2020-01-04 13:25,45,3,29.52,0.0
2020-01-04 13:48,46,5,29.5,0.0
2020-01-04 13:51,46,6,29.5,0.0
2020-01-04 14:26,48,5,29.52,0
2020-01-04 14:51,49,8,29.51,0
2020-01-04 15:23,49,9,29.51,0
2020-01-04 15:51,49,8,29.51,0
2020-01-04 16:51,48,9,29.51,0
2020-01-04 17:51,49,8,29.51,0
2020-01-04 18:51,49,12,29.51,0.0
2020-01-04 19:51,48,17,29.51,0.0
2020-01-04 20:51,45,17,29.52,0.0
2020-01-04 21:11,45,17,29.52,0
2020-01-04 21:51,44,16,29.52,0.01
2020-01-04 22:49,43,21,29.51,0.0
2020-01-04 22:51,43,21,29.51,0.0
