valid_time_gmt,temp,wspd,pressure,precip_hrly
2024-01-01 00:51,43,7,29.98,0
2024-01-01 01:51,43,9,29.97,0
2024-01-01 02:51,42,9,29.97,0
2024-01-01 03:51,42,7,29.96,0
2024-01-01 04:51,42,5,29.96,0
2024-01-01 05:51,42,8,29.97,0
2024-01-01 06:13,42,6,29.98,0.0
2024-01-01 06:51,41,8,29.99,0.0
2024-01-01 07:51,40,3,30.0,0.01
2024-01-01 08:51,40,5,30.02,0.0
2024-01-01 09:34,41,6,30.01,0.0
2024-01-01 09:51,41,7,30.02,0.0
2024-01-01 10:51,44,0,30.01,0
2024-01-01 11:51,45,0,29.99,0
2024-01-01 12:51,45,3,29.98,0
2024-01-01 13:51,45,7,29.98,0
2024-01-01 14:51,45,5,29.99,0
2024-01-01 15:51,45,7,30.0,0
2024-01-01 16:51,45,6,30.0,0
2024-01-01 17:51,44,7,30.02,0
2024-01-01 18:51,43,9,30.03,0
2024-01-01 19:51,42,9,30.04,0
2024-01-01 20:51,41,8,30.04,0
2024-01-01 21:51,40,10,30.06,0
2024-01-01 22:51,38,12,30.06,0
2024-01-01 23:51,36,8,30.06,0
2024-01-02 00:51,35,9,30.06,0
2024-01-02 01:51,34,9,30.06,0
2024-01-02 02:51,33,8,30.06,0
2024-01-02 03:51,32,10,30.07,0
2024-01-02 04:51,31,10,30.07,0
2024-01-02 05:51,30,8,30.08,0
2024-01-02 06:51,30,9,30.1,0
2024-01-02 07:51,30,8,30.1,0
2024-01-02 08:51,31,9,30.11,0
2024-01-02 09:51,33,10,30.11,0
2024-01-02 10:51,35,8,30.09,0
2024-01-02 11:51,37,10,30.05,0
2024-01-02 12:51,39,10,30.02,0
2024-01-02 13:51,41,7,29.99,0
2024-01-02 14:51,43,10,29.99,0
2024-01-02 15:51,43,10,29.97,0
2024-01-02 16:51,42,8,29.98,0
2024-01-02 17:51,42,6,29.99,0
2024-01-02 18:51,42,13,30.0,0
2024-01-02 19:51,42,12,29.99,0
2024-01-02 20:51,41,10,29.99,0
2024-01-02 21:51,41,10,30.0,0
2024-01-02 22:51,40,8,29.99,0
2024-01-02 23:51,39,8,29.97,0
2024-01-03 00:51,38,10,29.98,0
2024-01-03 01:51,37,12,29.98,0
2024-01-03 02:51,36,14,29.98,0
2024-01-03 03:51,36,12,29.98,0
2024-01-03 04:51,35,13,29.98,0
2024-01-03 05:51,35,7,29.99,0
2024-01-03 06:51,36,7,30.0,0
2024-01-03 07:51,36,9,30.02,0
2024-01-03 08:51,38,7,30.03,0
2024-01-03 09:51,39,12,30.04,0
2024-01-03 10:51,40,8,30.02,0
2024-01-03 11:51,42,10,29.99,0
2024-01-03 12:51,42,10,29.98,0
